"Selection","View","Channel","Begin Time (s)","End Time (s)","Low Freq (Hz)","High Freq (Hz)","Delta Time (s)","Delta Freq (Hz)","Avg Power Density (dB FS/Hz)","Annotation"
1,"Spectrogram 1",1,0.034075989,1.436059516,2235.501,4133.568,1.402,1898.067,-63.01,"MAWR"
3,"Spectrogram 1",1,1.465267506,2.156523273,1349.736,4302.285,0.6913,2952.548,-50.11,"RWBL"
4,"Spectrogram 1",1,2.376553488,4.513604768,927.944,6200.351,2.1371,5272.408,-46.56,"NOCA"
5,"Spectrogram 1",1,6.04683873,6.864662455,1054.482,4471.002,0.8178,3416.52,-48.33,"RWBL"
6,"Spectrogram 1",1,7.174908435,8.075488132,970.123,4007.03,0.9006,3036.907,-59.17,"RWBL"
7,"Spectrogram 1",1,8.792073211,9.519307482,1391.916,4808.436,0.7272,3416.52,-46.27,"RWBL"
8,"Spectrogram 1",1,9.574757981,11.074101475,2230.303,4363.636,1.4993,2133.333,-53.1,"MAWR"
9,"Spectrogram 1",1,11.351577382,11.755621245,1600,4412.121,0.404,2812.121,-44.26,"RWBL"
10,"Spectrogram 1",1,11.803742021,13.458861463,2521.212,4218.182,1.6551,1696.97,-56.34,"MAWR"
11,"Spectrogram 1",1,13.663579206,16.97381809,339.394,7418.182,3.3102,7078.788,-39.38,"NOCA"
12,"Spectrogram 1",1,17.206699388,17.820067181,678.788,4896.97,0.6134,4218.182,-46.69,"RWBL"
13,"Spectrogram 1",1,21.991177681,22.633753464,727.273,4896.97,0.6426,4169.697,-46.69,"RWBL"
14,"Spectrogram 1",1,22.70677344,23.865357049,1987.879,4266.667,1.1586,2278.788,-55.16,"MAWR"
15,"Spectrogram 1",1,24.418446079,25.265477793,1163.636,4800,0.847,3636.364,-46.61,"RWBL"
16,"Spectrogram 1",1,26.744435765,29.489986839,872.727,4072.727,2.7456,3200,-56.11,"MAWR"
17,"Spectrogram 1",1,29.685452477,30.357236251,1260.606,4169.697,0.6718,2909.091,-44.29,"RWBL"
18,"Spectrogram 1",1,30.415652231,33.039503346,2424.242,4606.061,2.6239,2181.818,-57.44,"MAWR"
19,"Spectrogram 1",1,32.71588731,34.726370632,436.364,7175.758,2.0105,6739.394,-42.93,"NOCA"
20,"Spectrogram 1",1,34.824698382,35.423462181,678.788,4315.152,0.5988,3636.364,-44.27,"RWBL"
