"Selection","View","Channel","Begin Time (s)","End Time (s)","Low Freq (Hz)","High Freq (Hz)","Delta Time (s)","Delta Freq (Hz)","Avg Power Density (dB FS/Hz)","Annotation"
1,"Spectrogram 1",1,1.128369973,2.878494829,1799.649,4049.209,1.7501,2249.561,-57.63,"NOCA"
2,"Spectrogram 1",1,2.832438912,4.122004595,1996.485,3261.863,1.2896,1265.378,-39.66,"RWBL"
3,"Spectrogram 1",1,6.678108003,8.151897355,2108.963,3768.014,1.4738,1659.051,-43.29,"RWBL"
4,"Spectrogram 1",1,11.214615853,12.803544999,1996.485,3177.504,1.5889,1181.019,-40.69,"RWBL"
7,"Spectrogram 1",1,13.931914971,15.497816158,1947.262,2985.801,1.5659,1038.54,-41.19,"RWBL"
8,"Spectrogram 1",1,16.081785124,18.430636904,1784.99,4089.249,2.3489,2304.26,-55.62,"NOCA"
9,"Spectrogram 1",1,22.594058815,24.52840734,1720.081,3829.615,1.9343,2109.533,-53.23,"NOCA"
10,"Spectrogram 1",1,24.413267547,25.54163752,2239.351,3602.434,1.1284,1363.083,-48.08,"RWBL"
11,"Spectrogram 1",1,28.208805084,29.682594436,2044.625,3277.89,1.4738,1233.266,-42.49,"RWBL"
12,"Spectrogram 1",1,30.166181567,31.616942961,2044.625,3342.799,1.4508,1298.174,-41.48,"RWBL"
13,"Spectrogram 1",1,36.581963018,39.368346012,1687.627,3959.432,2.7864,2271.805,-53.37,"NOCA"
14,"Spectrogram 1",1,41.41783433,42.983735517,2109.533,3310.345,1.5659,1200.811,-41.6,"RWBL"
15,"Spectrogram 1",1,43.467322649,45.07196875,1622.718,3732.252,1.6046,2109.533,-53.94,"NOCA"
